Sample ID,Locality,Notes,Source,SiO2,TiO2,Al2O3,Fe2O3,FeO,Fe2O3t,MnO,MgO,CaO,Na2O,K2O,P2O5,TOT/C,TOT/S,LOI,CO2,H2O,Sum,SrO,BaO,Rb,Cs,Be,Sr,Sr,Ba,Zr,Nb,Hf,Hf,Ta,Sc,V,Cr2O3,Cr,Co,Ni,Cu,Zn,Pb,Pb,Th,U,Ga,Y,La,Ce,Pr,Nd,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Mg#(oxide),(Na+K)/Al,NA2O+K2O,SiO2norm,TiO2norm,Al2O3norm,FeOtnorm,MnOnorm,MgOnorm,CaOnorm,Na2Onorm,K2Onorm,P2O5norm,La chond,Ce chond,Pr chond,Nd chond,Sm chond,Eu chond,Gd chond,Tb chond,Dy chond,Ho chond,Er chond,Tm chond,Yb chond,Lu chond,Th Spider,Nb Spider,Ta Spider,La Spider,Ce Spider,Nd Spider,P Spider,Zr Spider,Hf Spider,Eu Spider,Gd Spider,Ti Spider,Dy Spider,Y Spider,Yb Spider,Lu Spider,87Sr/86Sr,EpsilonSr,85Rb/86Sr,87Sr/86SrN,143Nd/144Nd,143Nd/144NdN,EpsilonNd,208Pb/204Pb (1),207Pb/204Pb (2),206Pb/204Pb (3),176Hf/177Hf
14-6,Diatreme 14,Tuff Breccia,Suda et al. (1982),44.96,2.04,13.75,3.67,1.11,4.9033543,0.116,4.08,12.2,1.08,1.92,0.695,-,-,10.19,6.43,3.76,99.3,-,-,-,-,-,-,-,0.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48.04,0.33,3.52,52.74,2.39,16.13,5.18,0.14,4.79,14.31,1.27,2.25,0.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2L-496,Woodchop,Black,Vazquez (1998),40.77,4.14,11.02,-,13.23,14.7002499,0.2,8.96,11.83,2.78,1.51,1.62,-,-,4.68,-,-,100.74,-,-,36.4,1.56,-,2058,-,979,571,122.91,12.37,-,7.36,22.3,-,-,164,-,147,25,148,7.01,-,11.5,3.34,23,42.59,117.92,230.91,26.3,107.33,-,20.41,6.11,15.62,2.15,10.03,1.6,3.62,0.44,2.27,0.34,40.38,0.57,4.47,42.44,4.31,11.47,13.77,0.21,9.33,12.32,2.89,1.57,1.69,380.4,285.8,215.5737705,178.9,104.6666667,83.1292517,60.30888031,45.35864979,31.14906832,21.97802198,17.23809524,13.58024691,10.86124402,10.55900621,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3L-546,Woodchop,Hidden,Vazquez (1998),42.28,4.3,11.43,-,12.42,13.8002346,0.19,8.31,11.7,4.26,0.71,1.27,-,-,4.01,-,-,100.88,-,-,12.4,1.39,-,1722,-,1115,470,98.42,10.44,-,5.89,24.7,-,-,192,-,151,27,126,6.21,-,9.23,2.64,24,35.37,93.19,184.14,21.25,85.69,-,16.78,5.02,12.63,1.78,8.17,1.34,2.99,0.37,1.93,0.28,40.09,0.62,5.13,43.65,4.44,11.80,12.82,0.20,8.58,12.08,4.40,0.73,1.31,300.6,227.9,174.1803279,142.8,86.05128205,68.29931973,48.76447876,37.55274262,25.37267081,18.40659341,14.23809524,11.41975309,9.234449761,8.695652174,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5B,5 Buttes,-,Alibert et al. (1986),39.7,4.14,11.58,14.69,-,14.69,0.21,8.73,10.75,3.49,1.24,1.41,-,-,4.16,-,-,100.1,-,-,-,-,-,-,-,907,-,-,-,-,-,-,294,-,171,-,123,-,-,-,-,-,-,-,41.5,110,216,-,112,-,18.9,5.22,12.2,-,8.07,-,2.43,-,2.14,-,39.77,0.59,5.01,42.02,4.38,12.26,13.99,0.22,9.24,11.38,3.69,1.31,1.49,354.8,267.3,,186.7,96.92307692,71.02040816,47.1042471,,25.0621118,,11.57142857,,10.23923445,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.704018,-6.841732,-,-,0.512678,,0.780277701,39.12,15.851,20.063,-
5L-JM,Woodchop,Juniper,Vazquez (1998),40.71,4.17,11.09,-,13.29,14.7669177,0.2,9.32,11.48,3.74,0.86,1.64,-,-,4.28,-,-,100.78,-,-,9,0.71,-,1990,-,956,562,124.69,12.6,-,7.41,22.2,-,-,174,-,142,29,153,7.01,-,11.45,2.16,24,42.64,116.68,232.43,26.23,104.47,-,20.64,6.07,13.51,2.15,9.81,1.64,3.58,0.44,2.34,0.35,41.22,0.59,4.77,42.19,4.32,11.49,13.77,0.21,9.66,11.90,3.88,0.89,1.70,376.4,287.7,215,174.1,105.8461538,82.58503401,52.16216216,45.35864979,30.46583851,22.52747253,17.04761905,13.58024691,11.19617225,10.86956522,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A31-09-1,Standing Rocks East,-,Nathalie PhD,39.7,4.08,10.24,-,-,12.45,0.19,5.99,13.6,3.55,0.56,1.53,0.66,0.02,7.5,2.64,4.86,99.39,-,-,12.5,20.7,3,1920.1,-,882,482.3,91,10.7,-,5.3,19,261,0.033,225.786,42.5,77,40,113,<1,-,10.8,3.5,19.5,37.7,106.1,216.7,25.37,101.7,-,17.62,5.07,13.7,1.82,8.91,1.45,3.41,0.44,2.48,0.34,34.84,0.57,4.53,43.80,4.50,11.30,12.36,0.21,6.61,15.00,3.92,0.62,1.69,342.3,268.2,207.9508197,169.5,90.35897436,68.97959184,52.8957529,38.39662447,27.67080745,19.91758242,16.23809524,13.58024691,11.86602871,10.55900621,128.5714286,127.6297335,129.2682927,149.8587571,118.2214948,74.45095168,73.37627802,43.0625,34.62783172,30.17857143,23.02521008,19.1093175,12.08955224,8.285714286,5.166666667,4.594594595,-,-,-,-,-,-,-,-,-,-,-
A-5,Diatreme A,Intrusive Limburgite,Suda et al. (1982),40.55,3.67,10.7,6.68,5.9,13.235667,0.161,11.6,12.2,2.77,0.75,0.89,-,-,3.63,3.63,0,100.03,0.113,-,26.71,-,-,-,-,26,-,-,0.48,-,-,1.94,-,-,22.6,4.3,-,-,-,-,-,0.98,-,-,-,6.57,8.75,-,n.d.,-,1.05,0.58,-,-,-,-,-,0.17,0.25,0.03,37.90,0.65,5.71,50.37,2.72,12.88,8.65,0.15,5.28,12.88,3.30,2.41,1.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A-6,Diatreme A,Extrusive Limburgite,Suda et al. (1982),48.1,2.6,12.3,3.61,5.01,9.1767613,0.144,5.04,12.3,3.15,2.3,1.3,-,-,3.35,3.04,0.31,99.86,0.023,0.148,1.2,-,-,-,-,-,-,-,-,-,-,2.7,-,-,44.3,6.8,48.4,-,-,-,-,0.53,-,-,-,8.62,8.84,-,1.03,-,0.94,0.37,-,-,-,-,-,0.17,0.32,0.03,49.34,0.47,3.70,42.59,3.85,11.24,12.51,0.17,12.18,12.81,2.91,0.79,0.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A8-09-11,Standing Rocks East,sheet (sill)/lava?,Nathalie PhD,43.09,4.52,11.32,-,-,10.62,0.16,6.2,11.99,4.49,0.54,1.62,<0.02,<0.02,4.7,0,4.7,99.25,-,-,12.6,15.4,1,2415.4,-,1397,491.6,92.1,11.8,-,6.1,21,271,0.035,239.47,37,67,22,184,<1,-,11.4,2.9,19.4,37.7,110.7,232,27.66,110.4,-,19.17,5.52,14.76,1.92,8.94,1.42,3.19,0.4,2.42,0.31,39.35,0.63,5.38,46.09,4.83,12.11,10.22,0.17,6.63,12.83,4.80,0.58,1.73,357.1,287.1,226.7213115,184.0,98.30769231,75.10204082,56.98841699,40.50632911,27.76397516,19.50549451,15.19047619,12.34567901,11.57894737,9.627329193,135.7142857,129.1725105,148.7804878,156.3559322,126.568467,80.81991215,77.69252967,43.89285714,38.18770227,32.85714286,24.80672269,21.17012625,12.1302578,8.285714286,5.041666667,4.189189189,-,-,-,-,-,-,-,-,-,-,-
ARJH10,Arch Rocks N vents,lava?,Hooten (1999),41,4.407656492,10.59,-,12.5,13.889125,0.18,10.68,11.94,3.65,0.63,1.22,-,-,3.38,-,-,100.1776565,-,-,8,4.24,-,1376,-,976,414,100.52,10.06,-,6.4,18,287,-,292,-,212,67,127,5.02,-,9.19,2.59,22,33.31,80.68,158.14,18.79,78.58,-,16.31,4.84,12.35,1.66,8.29,1.36,3.02,0.37,1.98,0.28,46.07,0.58,4.42,42.36,4.55,10.94,12.91,0.19,11.03,12.34,3.77,0.65,1.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
